date,id,content,username,likes,retweets,replies
2024-07-04 17:00:06+00:00,1808908657846870135,"@palunmullekohv @Apple yeah, well, i just buckled.",Bibliiohraf,0,0,0
2024-07-04 16:59:12+00:00,1808908431556030761,"@ChrisDaniels_TV @INSIDEARENA @DougBaldwinJr @cliffavril @Dschrempf @CaitlinClark22 @MayorofSeattle @NikoTamurian @Apple @Spotify @YouTube @iHeartRadio Why didn’t you ask the “,champions of change” what they’re specifically trying to change? They already have their big hero in the White House",JadedJack166094,0,0,0
2024-07-04 16:59:03+00:00,1808908393303666892,24 horas pra a @AppleSupport @Apple  me dá o suporte que eu estou pedindo e tentando a uma semana 🤡,Caio_Allgood,0,0,0
2024-07-04 16:58:31+00:00,1808908257106227383,"والله محد يهتم لشكله ولونه ونوع الكاميرا حقته 
بس فكونا من التعليق للاصدارات القديمه كل مانزل جديد الله ياخذكم 

جوالي ماكمل سنه و 1 تيرا وشاريته ب 7K كل يوم يخبط ويعلق ويفشلني ويسوي حركات
وجع ان شاءالله تفوو عليكم @apple",RHVena,0,0,0
2024-07-01 19:23:12+00:00,1807857504682234118,The iPhone 16 launch is two months away! https://t.co/jPnNhKw19r,theapplehub,10112,740,476
2024-07-04 16:58:22+00:00,1808908222394421680,@reallwymmdstan @pillow1215 @Apple @LIVIEPRINT dont listen to this transphobic person they dont mean it,melanierapedme,0,0,1
2024-07-04 16:57:38+00:00,1808908035915428184,@runmeb @Apple $GTA's daily sprints are intense!,mony45350862239,0,0,0
2024-07-04 16:55:39+00:00,1808907537791513014,@BNODesk So nice of @apple to work for helping a dictatorship.,BeerWat3r,5,0,0
2024-07-04 16:55:13+00:00,1808907426965410261,"Siri told me Costco was open today. Siri was wrong.

Cc: @tim_cook @apple",trayNTP,0,0,0
2024-07-04 16:53:54+00:00,1808907095363690938,Why is @apple still doing business in Russia at all is my question.,stryhalaleck,0,0,0
2024-07-04 11:41:27+00:00,1808828467061907732,"VPNs are vital! 

For people in Russia to continue exercising their rights to express, access information + dissent, @Apple must stop aiding Kremlin in suffocating the country's civic space.",accessnow,22,13,4
2024-07-04 16:53:29+00:00,1808906994134438098,"NEW POD:

On this episode of @INSIDEARENA…

-Extended conversation with @DougBaldwinJr, @cliffavril 
Plus…
-@Dschrempf
-@CaitlinClark22 
-@MayorofSeattle 

Join @NikoTamurian &amp; me!

@Apple @Spotify @YouTube @iHeartRadio, more!

https://t.co/EyUVHt58q9",ChrisDaniels_TV,1,2,2
2024-07-04 16:53:26+00:00,1808906979529703935,Shame on you @Apple !,CatarinaCabrita,1,0,0
2024-07-04 15:18:44+00:00,1808883149650198817,"‼️ *Apple Removes Popular VPN Apps from Russian App Store after Pressure*

According to reports, Apple has taken down several popular VPN apps from the Russian App Store. This action came after a request from Roskomnadzor, Russia’s media regulator. 

*The removed VPN services",abrodrigues63,2,0,2
2024-07-04 16:52:09+00:00,1808906658397016452,@CaliMOfficial_ @Apple @FedEx It’s corporate giants and machines that went against you smhhh,sheisaliimah,1,0,1
2024-07-04 16:51:45+00:00,1808906555963642277,@BNODesk @AZ_Intel_ F U @Apple @OlgaNYC1211 @MalcolmNance @JuliaDavisNews @SamRamani2,ALF4Prez2020,0,0,0
2024-07-04 16:51:24+00:00,1808906467853943232,@BNODesk Don't bow down to the russian cunts @apple,DANNYonPC,4,0,0
2024-07-04 16:51:18+00:00,1808906441077764574,"@karol_paciorek @Apple @malwrhunterteam @executemalware @banthisguy9349 The site has the certificate CN=nmailonlinecomhost[store
Certificate possible pivots point: 27.255.81.118 and 210.92.18.169 

I hope it helps to you 😉",ShanHolo,0,0,0
2024-07-04 16:51:12+00:00,1808906418788929986,How does @apple charge $350 for something that looks like this 2 minutes out of the box? #magickeyboard2024 https://t.co/KwMcP9djP7,theJasonTLewis,0,0,0
2024-07-04 16:50:51+00:00,1808906330234855744,Vile. Shame on you @Apple disgusting 😡😡😡,ALF4Prez2020,0,0,0
2024-07-04 16:50:02+00:00,1808906123506037052,Apple removes VPN apps from Russian App Store at Russia’s request https://t.co/KS3mv2E7K4,BNODesk,43,18,12
